Continantal,Thomson Reuters Symbol,Google Finance Symbol,Yahoo! Finance Symbol,Currency (Code)
African,GB,BOT,,Botswana Pula (BWP)
African,GH,GHA,,Ghanaian Cedi (GHS)
African,NR,NBO,,Kenyan Shilling (KES)
African,MV,MAL,,Kwacha (MWK)
African,CL,CAS,,Moroccan Dirham (MAD)
African,LA,NIG,,Nigerian Naira (NGN)
African,JO,JNB,,South African Rand (ZAR)
African,LZ,LUS,,Zambian Kwacha (ZMK)
African,ZB,ZIM,,Zimbabwean Dollar (ZWD)
Asia Pacfic,AU,ASX,.AX,Australian Dollar (AUD)
Asia Pacfic,DH,,,Bangladeshi Taka (BDT)
Asia Pacfic,HK,HKG,.HK,Hong Kong Dollar (HKD)
Asia Pacfic,SH,SHA,.SS,Chinese Renminbi (CNY)
Asia Pacfic,SZ,SHE,.SZ,Chinese Renminbi (CNY)
Asia Pacfic,IN,NSE,.NS,Indian Rupee (INR)
Asia Pacfic,BY,BSE,.BO,Indian Rupee (INR)
Asia Pacfic,JK,JAK,.JK,Indonesian Rupiah (IDR)
Asia Pacfic,FU,FUK,,Japanese Yen (JPY)
Asia Pacfic,HQ,NJM,,Japanese Yen (JPY)
Asia Pacfic,JA,JSD,,Japanese Yen (JPY)
Asia Pacfic,NY,NAG,,Japanese Yen (JPY)
Asia Pacfic,OK,OSA,,Japanese Yen (JPY)
Asia Pacfic,SO,,,Japanese Yen (JPY)
Asia Pacfic,TO,TYO,,Japanese Yen (JPY)
Asia Pacfic,SE,SEO,.KS,Korean Won (KRW)
Asia Pacfic,KQ,KDQ,.KQ,Korean Won (KRW)
Asia Pacfic,KU,KUL,.KL,Malaysian Ringgit (MYR)
Asia Pacfic,NZ,NZE,.NZ,New Zealand Dollar (NZD)
Asia Pacfic,KA,KAR,,Pakistani Rupee (PKR)
Asia Pacfic,Lah,Lah,,Pakistani Rupee (PKR)
Asia Pacfic,PH,PSE,,Philippine Peso (PHP)
Asia Pacfic,SG,SIN,.SI,Singapore Dollar (SGD)
Asia Pacfic,SL,COL,,Sri Lankan Rupee (LKR)
Asia Pacfic,OT,,,Taiwan Dollar (TWD)
Asia Pacfic,TW,TPE,.TW,Taiwan Dollar (TWD)
Asia Pacfic,TH,BAK,,Thai Baht (THB)
Asia Pacfic,,,,Vietnamese Dong (VND)
European,VI,WBAG,.VI,Euro (EUR)
European,BT,EBR,.BR,Euro (EUR)
European,BG,BUL,,Bulgarian Lev (BGN)
European,ZG,ZSE,,Croatian Kuna (HRK)
European,CP,CSE,,Euro (EUR)
European,PR,PRG,,Czech Koruna (CZK)
European,KO,CPH,,Danish Krone (DKK)
European,,AMP,,Danish Krone (DKK)
European,ET,TAL,,Euro (EUR)
European,HE,HEL,,Euro (EUR)
European,FR,EPA,.PA,Euro (EUR)
European,BE,BER,.BE,Euro (EUR)
European,,ETR,.DE,Euro (EUR)
European,DU,,,Euro (EUR)
European,FF,FRA,.F,Euro (EUR)
European,MU,,,Euro (EUR)
European,ST,STU,.SG,Euro (EUR)
European,AT,ATH,,Euro (EUR)
European,BU,BDP,,Hungarian Forint (HUF)
European,DB,ISE,.IR,Euro (EUR)
European,MI,BIT,.MI,Euro (EUR)
European,RG,RSE,,Latvian Lats (LVL)
European,LV,VSE,,Lithuanian Litas (LTL)
European,LU,LUX,,Euro (EUR)
European,MN,MSE,,Macedonian Denar (MKD)
European,AE,AMS,.AS,Euro (EUR)
European,OS,OSL,.OL,Norwegian Krone (NOK)
European,WA,WAR,,Polish Zloty (PLN)
European,LB,ELI,.LS,Euro (EUR)
European,RO,BSE,,Romanian Leu (RON)
European,RO,SBX,,Romanian Leu (RON)
European,RS,RTC,,U.S. Dollar (USD)
European,,,,Russian Ruble (RUB)
European,BS,,,Slovak Koruna (SKK)
European,LJ,LJE,,Euro (EUR)
European,BC,BCN,,Euro (EUR)
European,MD,MCE,.MA,Euro (EUR)
European,SK,STO,,Swedish Krona (SEK)
European,BN,BRN,,Swiss Franc (CHF)
European,EB,VTX,.VX,Swiss Franc (CHF)
European,IS,IST,,Turkish New Lira (TRY)
European,LN,LON,.L,British Pound (GBP)
European,PZ,OFEX,,British Pound (GBP)
Middle East,BH,BSH,,Bahraini Dinar (BHD)
Middle East,CI,CAI,,Egyptian Pound (EGP)
Middle East,,,,Egyptian Pound (EGP)
Middle East,TV,TLV,.TA,Israeli New Sheqel (ILS)
Middle East,AJ,AFM,,Jordanian Dinar (JOD)
Middle East,LE,BEY,,Lebanese Pound (LBP)
Middle East,PL,PAS,,Jordanian Dinar (JOD)
Middle East,,DFM,,U.A.E. Dirham (AED)
Middle East,DSE,DSE,,Syrian Pound (SYP)
North America,HM,BSX,,Bermudian Dollar (BMD)
North America,L,CNQ,,Canadian Dollar (CAD)
North America,T,TSE,.TO,Canadian Dollar (CAD)
North America,V,CVE,.V,Canadian Dollar (CAD)
North America,A,AMEX,AMEX,U.S. Dollar (USD)
North America,B,NASDAQ,NASDAQ,U.S. Dollar (USD)
North America,M,,,U.S. Dollar (USD)
North America,O,NASDAQ,NASDAQ,U.S. Dollar (USD)
North America,C,,,U.S. Dollar (USD)
North America,N,NYSE,NYSE,U.S. Dollar (USD)
North America,X,NASDAQ,NASDAQ,U.S. Dollar (USD)
